数据集,样本量,变量,系数β,标准误,z值,p值,OR,准确率
原始552行（本科1-3年级）,552,const,-0.6318,0.1349,-4.6845,0.0,0.5317,0.7681
原始552行（本科1-3年级）,552,frustration_z,1.4995,0.1407,10.6549,0.0,4.4792,0.7681
原始552行（本科1-3年级）,552,projects_z,-0.0124,0.1118,-0.1109,0.9117,0.9877,0.7681
原始552行（本科1-3年级）,552,is_manager,0.6045,0.2647,2.2832,0.0224,1.8303,0.7681
原始552行（本科1-3年级）,552,high_grade,0.3885,0.2387,1.6273,0.1037,1.4748,0.7681
原始552行（本科1-3年级）,552,service_z,0.0402,0.1123,0.3578,0.7205,1.041,0.7681
去重137行唯一记录,137,const,-0.6351,0.27,-2.3518,0.0187,0.5299,0.7664
去重137行唯一记录,137,frustration_z,1.4909,0.2825,5.2774,0.0,4.4411,0.7664
去重137行唯一记录,137,projects_z,-0.0099,0.2245,-0.044,0.9649,0.9902,0.7664
去重137行唯一记录,137,is_manager,0.5773,0.5323,1.0846,0.2781,1.7812,0.7664
去重137行唯一记录,137,high_grade,0.3662,0.4798,0.7632,0.4453,1.4423,0.7664
去重137行唯一记录,137,service_z,0.0361,0.2251,0.1605,0.8725,1.0368,0.7664
加权频数（137行×频数权重）,137,const,-0.6451,0.2725,-2.3676,0.0179,0.5246,0.7591
加权频数（137行×频数权重）,137,frustration_z,1.5387,0.284,5.4184,0.0,4.6586,0.7591
加权频数（137行×频数权重）,137,projects_z,-0.008,0.2259,-0.0352,0.9719,0.9921,0.7591
加权频数（137行×频数权重）,137,is_manager,0.5536,0.536,1.0328,0.3017,1.7394,0.7591
加权频数（137行×频数权重）,137,high_grade,0.4868,0.465,1.047,0.2951,1.6272,0.7591
加权频数（137行×频数权重）,137,service_z,0.021,0.2258,0.0928,0.926,1.0212,0.7591
