variable,n,mean,std,min,q25,q50,q75,max
性别,572.0,1.8951048951048952,0.36890117924187843,1.0,2.0,2.0,2.0,4.0
宗教,572.0,0.07692307692307693,0.2667025886263726,0.0,0.0,0.0,0.0,1.0
政治面貌,572.0,0.18181818181818182,0.38603219626283053,0.0,0.0,0.0,0.0,1.0
学历,572.0,1.986013986013986,0.8856593533474508,1.0,1.0,2.0,3.0,5.0
学科,572.0,0.8024475524475524,0.39850107380767863,0.0,1.0,1.0,1.0,1.0
是否干部,572.0,0.7062937062937062,0.4558576579411356,0.0,0.0,1.0,1.0,1.0
社团类型,572.0,2.5734265734265733,0.5613283031801534,1.0,2.0,3.0,3.0,3.0
成长环境,572.0,1.3146853146853146,0.4647968943408159,1.0,1.0,1.0,2.0,2.0
是否接受过资助,572.0,0.4405594405594406,0.4968887808742573,0.0,0.0,0.0,1.0,1.0
大学是否志愿服务,572.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
项目开展频率,572.0,1.8531468531468531,0.541878964365294,1.0,2.0,2.0,2.0,3.0
项目活动次数,572.0,1.5944055944055944,0.5324859879134516,1.0,1.0,2.0,2.0,3.0
活动持续时间,572.0,1.7552447552447552,0.6613342477714439,1.0,1.0,2.0,2.0,3.0
选择服务时间,572.0,1.6783216783216783,0.7542189437297973,1.0,1.0,2.0,2.0,4.0
参与项目总数,572.0,2.4685314685314683,1.300971997147426,1.0,2.0,2.0,4.0,6.0
服务总时长,572.0,54.72027972027972,22.80486186353997,10.0,40.0,50.0,70.0,100.0
往返车程,572.0,2.888111888111888,1.8417417139420464,2.0,2.0,2.0,4.0,10.0
服务类型之环保,572.0,0.1258741258741259,0.3319977816720113,0.0,0.0,0.0,0.0,1.0
社区,572.0,0.3006993006993007,0.4589635019384376,0.0,0.0,0.0,1.0,1.0
福利机构,572.0,0.34265734265734266,0.47501343116629097,0.0,0.0,0.0,1.0,1.0
助学助教,572.0,0.5174825174825175,0.5001316373566761,0.0,0.0,1.0,1.0,1.0
博物馆等,572.0,0.1958041958041958,0.3971658131495316,0.0,0.0,0.0,0.0,1.0
大型活动,572.0,0.1258741258741259,0.3319977816720113,0.0,0.0,0.0,0.0,1.0
其他,572.0,0.06293706293706294,0.24306228520861306,0.0,0.0,0.0,0.0,1.0
参与途径之学校社团,572.0,0.7202797202797203,0.44925459813872054,0.0,0.0,1.0,1.0,1.0
学院及班组织,572.0,0.4965034965034965,0.5004254004582802,0.0,0.0,0.0,1.0,1.0
校外项目,572.0,0.21678321678321677,0.4124143622167685,0.0,0.0,0.0,0.0,1.0
老师提供,572.0,0.02097902097902098,0.14343943569752873,0.0,0.0,0.0,0.0,1.0
其他途径,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
角色,572.0,2.7132867132867133,0.5752925410990218,1.0,3.0,3.0,3.0,3.0
培训情况,572.0,2.167832167832168,0.5674907312915094,1.0,2.0,2.0,3.0,3.0
培训者,432.0,1.287037037037037,0.4921834665552727,1.0,1.0,1.0,2.0,3.0
动机之增长才干,572.0,0.7762237762237763,0.4171386212593309,0.0,1.0,1.0,1.0,1.0
奉献社会,572.0,0.7972027972027972,0.40243463202980007,0.0,1.0,1.0,1.0,1.0
结交朋友,572.0,0.5804195804195804,0.49392225417681085,0.0,0.0,1.0,1.0,1.0
跟风,572.0,0.17482517482517482,0.38014994395700263,0.0,0.0,0.0,0.0,1.0
现实因素,572.0,0.06293706293706294,0.24306228520861312,0.0,0.0,0.0,0.0,1.0
其他动机,572.0,0.02097902097902098,0.18597144833047938,0.0,0.0,0.0,0.0,2.0
初衷实现,568.0,2.1690140845070425,0.4278131254975868,1.0,2.0,2.0,2.0,4.0
服务中断,572.0,0.42657342657342656,0.49501204484997813,0.0,0.0,0.0,1.0,1.0
中断服务之时间过多,244.0,0.5245901639344263,0.500421464410522,0.0,0.0,1.0,1.0,1.0
不能自身能力,244.0,0.32786885245901637,0.47040168371979113,0.0,0.0,0.0,1.0,1.0
不认同项目目标,244.0,0.5737704918032787,0.49554447399809154,0.0,0.0,1.0,1.0,1.0
失去新鲜感,244.0,0.09836065573770492,0.29841380570160136,0.0,0.0,0.0,0.0,1.0
缺培训无法胜任,244.0,0.18032786885245902,0.38525056658689266,0.0,0.0,0.0,0.0,1.0
不认同组织形式,244.0,0.21311475409836064,0.4103498095542068,0.0,0.0,0.0,0.0,1.0
其他原因,244.0,0.01639344262295082,0.12724407429197074,0.0,0.0,0.0,0.0,1.0
争执,572.0,2.839160839160839,0.420996227385115,1.0,3.0,3.0,3.0,4.0
争执对象,88.0,3.227272727272727,1.5441939661922852,1.0,2.0,3.0,4.0,8.0
争执强度,88.0,3.4545454545454546,1.1637147309034246,1.0,3.0,3.0,4.0,5.0
个人责任,88.0,2.727272727272727,0.4479140087646834,2.0,2.0,3.0,3.0,3.0
个人处置,88.0,1.8181818181818181,0.7811788107586287,1.0,1.0,2.0,2.0,3.0
争执影响,88.0,2.090909090909091,0.599547025110378,1.0,2.0,2.0,2.0,3.0
未发生争执原因,488.0,2.3442622950819674,0.9221926536266353,1.0,1.0,3.0,3.0,4.0
挫折感,572.0,2.993006993006993,0.9867529123004902,1.0,2.0,3.0,4.0,5.0
志愿服务现状满意度,572.0,2.5664335664335662,1.0151872347864817,1.0,2.0,2.0,4.0,5.0
过程快乐感,572.0,2.0,0.757912147360984,1.0,2.0,2.0,2.0,4.0
项目形式主义,572.0,3.2097902097902096,1.109444548568705,1.0,2.0,4.0,4.0,5.0
解决困难主动性,572.0,1.937062937062937,0.661334247771444,1.0,2.0,2.0,2.0,4.0
志愿者素质,572.0,3.202797202797203,1.1570809371230077,1.0,2.0,4.0,4.0,5.0
周围对志愿服务态度,572.0,2.832167832167832,1.1953559522977732,1.0,2.0,2.0,4.0,5.0
服务后总结反馈,572.0,2.909090909090909,1.109797734267606,1.0,2.0,2.0,4.0,5.0
热情退却,572.0,2.86013986013986,1.1451651115752512,1.0,2.0,2.0,4.0,5.0
服务提升能力,572.0,1.951048951048951,0.7969176286678316,1.0,1.0,2.0,2.0,4.0
重视志愿者作用,572.0,2.300699300699301,0.9017202088179866,1.0,2.0,2.0,2.0,5.0
F1,572.0,-0.0791103747528731,0.8885199431676729,-2.3114652742898936,-0.6279167010201119,-0.2545693244388489,0.3143008142050943,3.626195003351237
F2,572.0,-0.047122326019907214,0.959924140787826,-1.9107794685468298,-0.6509157368536022,-0.09334463188207334,0.49674050038382656,3.6593511640888545
F31,572.0,-0.06557098230380723,0.8826274176622746,-2.9906006265987335,-0.5076805385892698,-0.09728349569518631,0.23201116303615468,2.964449027708552
F32,572.0,-0.035292764127588694,0.9641370393677127,-2.735113386786336,-0.609294896105785,-0.036190017208511886,0.630090098323824,3.6160711250781836
F33,572.0,-0.04837652265197147,0.9514902013024799,-1.9186502367636928,-0.624048813539921,-0.19116065037758417,0.5671756730888824,3.598013053222393
F34,572.0,-0.026989910719111998,0.9849087135427375,-2.2236218326648705,-0.7321035536338982,-0.07461622714158461,0.49313600707694244,3.827193112263145
满意度,572.0,-3.3309326542573037,30.558204636118262,-58.13006258516353,-18.52639901652743,-4.500671567569393,4.920143178581598,192.15093057486524
动机实现,572.0,0.8321678321678322,0.374044285680096,0.0,1.0,1.0,1.0,1.0
动机之被动,572.0,0.23776223776223776,0.4874328471676493,0.0,0.0,0.0,0.0,2.0
奉献社会1,572.0,4.783216783216783,2.4146077921788005,0.0,6.0,6.0,6.0,6.0
动机之利他,572.0,6.3776223776223775,2.4681628009448073,1.0,7.0,7.0,8.0,9.0
动机之利己,572.0,1.3566433566433567,0.6196501403216351,0.0,1.0,1.0,2.0,2.0
动机之利己1,572.0,6.461538461538462,1.8669181203846075,0.0,7.0,7.0,7.0,7.0
动机之利己2,572.0,6.573426573426573,1.5318658905671736,1.0,7.0,7.0,7.0,8.0
动机之被动1,572.0,1.6783216783216783,3.2601212973714278,0.0,0.0,0.0,0.0,8.0
动机分布,572.0,12.923076923076923,3.89184233373346,6.0,13.0,13.0,13.0,21.0
动机分类,572.0,2.664335664335664,0.6029008212525369,1.0,2.0,3.0,3.0,3.0
参加项目数,572.0,0.21678321678321677,0.4124143622167685,0.0,0.0,0.0,0.0,1.0
参加项目数量,572.0,0.21678321678321677,0.4124143622167685,0.0,0.0,0.0,0.0,1.0
满意度累计,572.0,20.972027972027973,4.685475647653112,11.0,18.0,20.0,24.0,33.0
失落,572.0,0.5384615384615384,0.49895485540279916,0.0,0.0,1.0,1.0,1.0
服务时间,572.0,0.027972027972027972,0.16503699926115678,0.0,0.0,0.0,0.0,1.0
